,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"شماره","خوشه","نام گروه","نام استاندارد","کد استاندارد قدیم","ISCO",,,,,,,,,,,,,,,"پیشنیاز","سطح تحصيلات ورودي","ساعت- نظری","ساعت-عملی","ساعت-کارورزی","ساعت-پروژه","ساعت کل","کارو دانش","نوع","نام استاندارد به لاتین","تاریخ تدوین و به روز رسانی"
,,,,,"نسخه","کد شایستگی",,,"کد شغل",,,"کد گروه",,,"سطح مهارت","کد ISCO",,,,,,,,,,,,,,
"957","صنعت","صنایع نساجی","كارور چاپ روتاري","9-29/42/1/1","1","0","0","0","5","0","0","7","2","0","2","2","2","3","7","ندارد","پایان دوره  راهنمايي","130","270","0","0","400","هیچ کدام","شغل",,"1388/01/01"
"958","صنعت","صنایع نساجی","كارور چاپ غلطكي","9-29/52/2/2/1","1","0","0","0","6","0","0","7","2","0","2","2","2","3","7","ندارد","پایان دوره  راهنمايي","100","280","0","0","380","هیچ کدام","شغل",,"1373/05/01"
"959","صنعت","صنایع نساجی","كارور چاپ مسطح (چاپ تخت)","9-29/56/1/2","1","0","0","0","7","0","0","7","2","0","2","2","2","3","7","ندارد","پایان دوره  راهنمايي","168","168","0","0","336","هیچ کدام","شغل",,"1388/01/01"
"960","صنعت","صنایع نساجی","كارور پخت آهار نخهاي فيلامنت","7-42/22/2/2","1","0","0","0","1","0","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","49","56","0","0","105","هیچ کدام","شغل",,"1378/03/01"
"961","صنعت","صنایع نساجی","كارور پليمريزاسيون نايلون 6","0-25/90/1/1","1","0","0","0","2","0","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","113","187","0","0","300","هیچ کدام","شغل",,"1388/01/01"
"962","صنعت","صنایع نساجی","كارور سيستم ذوب ریس الياف","0-25/91/1/1","1","0","0","0","3","0","0","7","2","0","2","1","5","1","8","ندارد","ديپلم","133","167","0","0","300","هیچ کدام","شغل",,"1388/01/01"
"963","صنعت","صنایع نساجی","كارور پيله كشي","7-55/48/1/2","1","0","0","0","4","0","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","53","188","0","0","241","هیچ کدام","شغل",,"1381/03/01"
"964","صنعت","صنایع نساجی","كارور تابندگي نخ ابريشم","7-55/49/1/2","1","0","0","0","5","0","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","25","175","0","0","200","هیچ کدام","شغل",,"1381/03/01"
"965","صنعت","صنایع نساجی","کنترل تغذیه دستگاه کاردینگ پشمی ","8152-27-201-1","1","1","0","0","6","0","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  ابتدايي","15","38","0","0","53","هیچ کدام","شایستگی","to control the feeding system of woolen carding","1393/09/20"
"966","صنعت","صنایع نساجی","كارور ماشين اتوكنر (بوبين واتومات اسپلايسر)","7-52/53/1/2","1","0","0","0","7","0","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","54","81","0","0","135","هیچ کدام","شغل",,"1379/05/01"
"967","صنعت","صنایع نساجی","كارور ماشين بالشچه (لپ) و ماشين شانه نخي","7-51/45/1/2","1","0","0","0","8","0","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","56","117","0","0","173","هیچ کدام","شغل",,"1381/01/03"
"968","صنعت","صنایع نساجی","بسته بند و كنترلر بوبين پيچي","9-71/56/2/2","1","0","0","0","9","0","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","38","56","0","0","94","هیچ کدام","شغل",,"1379/06/01"
"969","صنعت","صنایع نساجی","ریسندگی الیاف بلند","8151/2","1","0","0","0","0","1","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره راهنمایی","86","304","0","0","390","هیچ کدام","شغل",,"1388/12/01"
"970","صنعت","صنایع نساجی","ریسندگی الیاف کوتاه","8151/1","1","0","0","0","1","1","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره راهنمایی","104","376","0","0","480","هیچ کدام","شغل",,"1388/12/01"
"971","صنعت","صنایع نساجی","ریسندگی یکسره","8151/3","1","0","0","0","2","1","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره راهنمایی","74","376","0","0","450","هیچ کدام","شغل",,"1388/12/01"
"972","صنعت","صنایع نساجی","كارور ماشين حلاجي نخي","7-51/31/2/2","1","0","0","0","4","1","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","64","109","0","0","173","هیچ کدام","شغل",,"1381/06/01"
"973","صنعت","صنایع نساجی","كارور ماشين كاردينگ نخي","7-51/35/1/2","1","0","0","0","5","1","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","99","211","0","0","310","مجموعه هشتم کار و دانش","شغل",,"1387/07/01"
"974","صنعت","صنایع نساجی","كارور حلاجي سيستم پنبه اي","7-51/31/1/2","1","0","0","0","6","1","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","104","184","0","0","288","هیچ کدام","شغل",,"1382/02/03"
"975","صنعت","صنایع نساجی","كارور ماشين دولا يا چند لاتاب (سيستم رينگي)","8-52/40/2/2","1","0","0","0","8","1","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","60","100","0","0","160","مجموعه هشتم کار و دانش","شغل",,"1378/05/01"
"976","صنعت","صنایع نساجی","كارور ماشين دولاچند لاتاب (سيستم كاسه اي)","7-52/33/1/2","1","0","0","0","9","1","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","66","194","0","0","260","هیچ کدام","شغل",,"1379/01/02"
"977","صنعت","صنایع نساجی","كارور ماشين قرقره پيچي ساده","7-52/51/1/2","1","0","0","0","0","2","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  ابتدايي","34","155","0","0","189","هیچ کدام","شغل",,"1376/01/02"
"978","صنعت","صنایع نساجی","كارور ماشين گيل باكس","7-51/32/1/2","1","0","0","0","1","2","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","38","106","0","0","144","هیچ کدام","شغل",,"1382/10/01"
"979","صنعت","صنایع نساجی","كارور ماشين نيم تاب (فلاير)","7-51/55/1/3","1","0","0","0","2","2","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","56","117","0","0","173","مجموعه هشتم کار و دانش","شغل",,"1365/01/06"
"980","صنعت","صنایع نساجی","كارور ماشين حلاجي پشمي (ولف)","7-51/33/1/1","1","0","0","0","3","2","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","70","110","0","0","180","هیچ کدام","شغل",,"1388/01/01"
"981","صنعت","صنایع نساجی","كارور ماشين فتيله (شش يا هشت لاكني)","7-51/51/1/2","1","0","0","0","4","2","0","7","2","0","2","1","5","1","8","ندارد","پایان دوره  راهنمايي","56","117","0","0","173","مجموعه هشتم کار و دانش","شغل","Drawing frame operator","1379/06/01"
"982","صنعت","صنایع نساجی","بافندگی تاری پودی","8152/2","1","0","0","0","1","0","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره راهنمایی","80","280","0","0","360","هیچ کدام","شغل",,"1388/12/01"
"983","صنعت","صنایع نساجی"," الیاف شناسی ","8152-27-202-1","1","1","0","0","1","0","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","15","45","0","0","60","هیچ کدام","شایستگی","textile fibers identification","1393/09/20"
"984","صنعت","صنایع نساجی","بافنده ماشينهاي بافندگي چند ماكويي و ژاكارد","7-54/42/2/2","1","0","0","0","3","0","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","47","192","0","0","239","هیچ کدام","شغل",,"1376/06/01"
"985","صنعت","صنایع نساجی","كارور ماشينهاي بافندگي  با ماكو و بدون ماكو و ژاكارد","7-54/51/1/2","1","0","0","0","4","0","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","148","292","0","0","440","هیچ کدام","شغل",,"1383/08/01"
"986","صنعت","صنایع نساجی","كارور ماشينهاي بافندگي بدون ماكو و ژاكارد","7-54/50/1/3","1","0","0","0","5","0","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","98","196","24","0","318","هیچ کدام","شغل",,"1390/05/01"
"987","صنعت","صنایع نساجی","كارور ماشين بافندگي بدون ماكو (سيستم ايرجت و جت ايست)","7-54/48/2/2","1","0","0","0","6","0","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","103","180","0","0","283","هیچ کدام","شغل",,"1378/04/01"
"988","صنعت","صنایع نساجی","كارور ماشين بافندگي پروژكتايل","7-54/47/2/3","1","0","0","0","8","0","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","58","160","0","0","218","هیچ کدام","شغل","operator of projectile weaving loom","1393/01/30"
"989","صنعت","صنایع نساجی","كارور ماشين بافندگي راپيري","7-54/46/2/3","1","0","0","0","9","0","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","49","135","0","0","184","هیچ کدام","شغل","Operator of rapier weaving loom","1393/02/25"
"990","صنعت","صنایع نساجی","چله گذار و گره زن","7-53/23/1/3","1","0","0","0","0","1","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","53","123","0","0","176","هیچ کدام","شغل",,"1390/05/01"
"991","صنعت","صنایع نساجی","رفوگر پارچه هاي تاري و پودي","7-54/73/1/2","1","0","0","0","1","1","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","94","194","0","0","288","هیچ کدام","شغل",,"1383/01/10"
"992","صنعت","صنایع نساجی","پتوباف راپيري با ژاكارد","7-54/92/1/2","1","0","0","0","2","1","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","100","188","0","0","288","هیچ کدام","شغل",,"1383/08/01"
"993","صنعت","صنایع نساجی","كارور ماشين پتو باف","7-54/91/1/3","1","0","0","0","3","1","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","73","167","0","0","240","هیچ کدام","شغل","Operator of blanket weaving loom","1393/02/15"
"994","صنعت","صنایع نساجی","ترمه باف ماشيني","8-54/43/1/2","1","0","0","0","4","1","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","105","155","0","0","260","هیچ کدام","شغل",,"1387/05/01"
"995","صنعت","صنایع نساجی","كارور قاليباف ماشيني (فرش باف ماشيني )","7-54/61/1/2","1","0","0","0","5","1","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","216","384","0","0","600","مجموعه هشتم کار و دانش","شغل",,"1387/07/01"
"996","صنعت","صنایع نساجی","موكت باف (تافتينگ)","7-54/41/1/2","1","0","0","0","6","1","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","88","198","0","0","286","هیچ کدام","شغل",,"1384/02/25"
"997","صنعت","صنایع نساجی","طراح بافت پارچه هاي تاري و پودي","7-53/40/1/2","1","0","0","0","7","1","0","7","2","0","2","2","5","1","8","ندارد","ديپلم نساجي","74","156","0","0","230","هیچ کدام","شغل",,"1380/08/01"
"998","صنعت","صنایع نساجی","طراح بافت پارچه(بافندگي تاري - پودي)","8152/5","1","0","0","0","8","1","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره راهنمایی","72","198","0","0","270","هیچ کدام","شغل",,"1388/12/01"
"999","صنعت","صنایع نساجی","تجزيه فني بافت پارچه تاری – پودی ","8152-27-200-1","1","1","0","0","8","1","0","7","2","0","2","2","5","1","8","ندارد","متوسطه دوره اول","18","36","0","0","54","هیچ کدام","شایستگی","to analyze weaving designs","1393/09/15"
"1000","صنعت","صنایع نساجی","كارگر تاركش بافندگي","2-54/21/1/2","1","0","0","0","9","1","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","24","122","0","0","146","هیچ کدام","شغل",,"1388/01/01"
"1001","صنعت","صنایع نساجی","كارور سربند گره زن چله هاي بافندگي","7-53/21/1/2","1","0","0","0","0","2","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","53","139","0","0","192","هیچ کدام","شغل",,"1387/04/01"
"1002","صنعت","صنایع نساجی","بافندگی حلقوی پودی","8152/3","1","0","0","0","1","2","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره راهنمایی","56","184","0","0","240","هیچ کدام","شغل",,"1388/12/01"
"1003","صنعت","صنایع نساجی","بافندگی حلقوی تاری","8152/4","1","0","0","0","2","2","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره راهنمایی","53","172","0","0","225","هیچ کدام","شغل",,"1388/12/01"
"1004","صنعت","صنایع نساجی","کارور دستگاه جوراب بافی تک سیلندر – کامپیوتری","8152-27-033-1","1","0","0","0","3","2","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره راهنمایی","20","90","0","0","110","هیچ کدام","شغل","computerized socks knitting machine operator","1393/11/15"
"1005","صنعت","صنایع نساجی","كارور بافتهاي حلقوي تاري(راشل)درجه1","7-55/91/1/2","1","0","0","0","4","2","0","7","2","0","2","2","5","1","8","كارور بافتهاي حلقوي تاري (راشل) درجه 2","پایان دوره راهنمایی","47","119","0","0","166","هیچ کدام","شغل",,"1370/06/01"
"1006","صنعت","صنایع نساجی","كارور بافتهاي حلقوي تاري(راشل)درجه2","7-55/93/2/2","1","0","0","0","5","2","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره راهنمایی","47","85","0","0","132","هیچ کدام","شغل",,"1369/10/01"
"1007","صنعت","صنایع نساجی","كارور چله پيچ  ماشين كتن و راشل","7-55/90/1/1","1","0","0","0","6","2","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","87","153","0","0","240","هیچ کدام","شغل",,"1388/01/01"
"1008","صنعت","صنایع نساجی","كارور دستگاه پتوباف مينك","7-55/23/1/3","1","0","0","0","7","2","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","37","91","0","0","128","هیچ کدام","شغل","operator of mink blanket weaving loom","1393/02/10"
"1009","صنعت","صنایع نساجی","كارور دستگاه هاي مقدمات بافندگي","8152/1","1","0","0","0","8","2","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره راهنمایی","53","207","0","0","260","هیچ کدام","شغل","weaving preparation","1393/02/25"
"1010","صنعت","صنایع نساجی","كارور ماشين چله پيچ و آهار مداوم","7-54/19/1/2","1","0","0","0","9","2","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","50","86","0","0","136","هیچ کدام","شغل",,"1380/06/01"
"1011","صنعت","صنایع نساجی","كارور ماشين چله پيچي بخشي","7-54/15/1/1","1","0","0","0","0","3","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","56","93","0","0","149","هیچ کدام","شغل",,"1370/11/01"
"1012","صنعت","صنایع نساجی","كارور ماشين چله پيچي بخشي مستقيم و كتن و راشل","7-54/17/1/1","1","0","0","0","1","3","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","149","191","0","0","340","هیچ کدام","شغل",,"1388/01/01"
"1013","صنعت","صنایع نساجی","كارور ماشين جوراب بافي(مكانيكي)","7-55/30/1/3","1","0","0","0","2","3","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","75","165","0","0","240","هیچ کدام","شغل",,"1393/02/25"
"1014","صنعت","صنایع نساجی","كارور ماشين بافندگي كتن","7-55/91/2/3","1","0","0","0","3","3","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","42","98","0","0","140","هیچ کدام","شغل","Opertor of ketten warp knitting loom","1393/02/25"
"1015","صنعت","صنایع نساجی","كارورماشين بافندگي ماكويي تك جعبه اي","7-45/41/2/3","1","0","0","0","4","3","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","47","135","0","0","182","هیچ کدام","شغل","Operator of shuttle looms with single-shuttle automatic bobbin change","1393/02/10"
"1016","صنعت","صنایع نساجی","كارور ماشين ماسوره پيچي (چهار خشابه)","7-52/52/1/2","1","0","0","0","5","3","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  ابتدايي","37","155","0","0","192","هیچ کدام","شغل",,"1379/05/01"
"1017","صنعت","صنایع نساجی","گردباف و قواره باف حلقوی(كامپيوتري‘مكانيكي‘ژاكارد و ....)","7-55/22/1/2","1","0","0","0","6","3","0","7","2","0","2","2","5","1","8","ندارد","دیپلم","94","194","0","0","288","هیچ کدام","شغل",,"1383/01/01"
"1018","صنعت","صنایع نساجی","چله بند-چله گذار","7-53/23/1/2","1","0","0","0","7","3","0","7","2","0","2","2","5","1","8","ندارد","پایان دوره  راهنمايي","41","156","0","0","197","مجموعه هشتم کار و دانش","شغل",,"1375/11/01"
"1019","صنعت","صنایع نساجی","كارور دوخت و تكميل جوراب","7-55/30/2/3","1","0","0","0","1","0","0","7","2","0","2","3","5","1","8","ندارد","پایان دوره  راهنمايي","33","70","0","0","103","هیچ کدام","شغل",,"1390/05/01"
"1020","صنعت","صنایع نساجی","كارور دوخت و برش پارچه هاي حلقوي پودي","7-55/21/1/1","1","0","0","0","2","0","1","7","2","0","2","3","5","1","8","ندارد","پایان دوره  راهنمايي","71","153","0","0","224","هیچ کدام","شغل",,"1388/01/01"
"1021","صنعت","صنایع نساجی","تکمیل پارچه","8159/2","1","0","0","0","1","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره راهنمایی","48","162","0","0","210","هیچ کدام","شغل",,"1388/12/01"
"1022","صنعت","صنایع نساجی","كارور ماشين فولارد و استنتروخشك كن انواع پارچه","7-56/92/1/3","1","0","0","0","2","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","85","170","0","0","255","هیچ کدام","شغل",,"1387/01/01"
"1023","صنعت","صنایع نساجی","كارور آبگيري الياف، نخ و پارچه","7-56/39/1/1","1","0","0","0","3","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","60","120","0","0","180","هیچ کدام","شغل",,"1388/01/01"
"1024","صنعت","صنایع نساجی","كارور كنترل پارچه خام و تكميل نهايي","7-54/70/1/2","1","0","0","0","4","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","53","119","0","0","172","هیچ کدام","شغل",,"1380/06/01"
"1025","صنعت","صنایع نساجی","كارور لكه گيري منسوجات و چرم و پوست","5-60/51/1/2","1","0","0","0","5","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","45","103","0","0","148","هیچ کدام","شغل",,"1381/01/01"
"1026","صنعت","صنایع نساجی","كارور ماشین جوراب رنگ كن (رنگرز جوراب)","7-56/31/1/1","1","0","0","0","6","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","70","110","0","0","180","هیچ کدام","شغل",,"1388/01/01"
"1027","صنعت","صنایع نساجی","كارور پخت و سفيدگري ابريشم","7-56/19/1/2","1","0","0","0","7","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","14","50","0","0","64","هیچ کدام","شغل",,"1381/05/01"
"1028","صنعت","صنایع نساجی","رنگرز پارچه به وسيله ماشين ژيگر","7-56/22/1/2","1","0","0","0","8","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","58","91","0","0","149","هیچ کدام","شغل",,"1371/08/01"
"1029","صنعت","صنایع نساجی","رنگرز عمومي","7-56/29/1/2","1","0","0","0","9","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","76","136","0","0","212","هیچ کدام","شغل",,"1380/03/01"
"1030","صنعت","صنایع نساجی","رنگرزی الیاف با دستگاه رنگرزی غیرمداوم ","8154-27-051-1","1","1","0","0","9","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره راهنمایی ","5","13","0","0","18","هیچ کدام","شایستگی","non continuous fiber dyeing operation","1394/02/20"
"1031","صنعت","صنایع نساجی","رنگ سازی ","8154-27-050-1","1","2","0","0","9","0","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره راهنمایی","12","31","0","0","43","هیچ کدام","شایستگی","Preparation of dyeing solutions","1393/10/25"
"1032","صنعت","صنایع نساجی","رنگرز نخ ابريشم","7-56/30/1/2","1","0","0","0","0","1","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","138","242","0","0","380","هیچ کدام","شغل",,"1382/03/01"
"1033","صنعت","صنایع نساجی","رنگرزی","8154/1","1","0","0","0","1","1","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره راهنمایی","27","123","0","0","150","هیچ کدام","شغل",,"1388/02/01"
"1034","صنعت","صنایع نساجی","سفيدگر و رنگرز پارچه با ماشين وينچ","7-56/25/1/2","1","0","0","0","2","1","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","62","177","0","0","239","هیچ کدام","شغل",,"1383/01/01"
"1035","صنعت","صنایع نساجی","كارور رنگرز پارچه  با ماشين اتوكلاو (بيم رنگ كني)","7-56/26/1/2","1","0","0","0","3","1","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","56","88","0","0","144","هیچ کدام","شغل",,"1379/06/01"
"1036","صنعت","صنایع نساجی","كارور ماشين اطو- دكوتايز (سوپرفينيش)","7-56/97/1/1","1","0","0","0","4","1","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","72","144","0","0","216","هیچ کدام","شغل",,"1388/01/01"
"1037","صنعت","صنایع نساجی","كارور ماشين بخار (لندن شرانگ)","7-56/96/1/1","1","0","0","0","5","1","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","70","130","0","0","200","هیچ کدام","شغل",,"1388/01/01"
"1038","صنعت","صنایع نساجی","كارور ماشين پرز سوز پارچه","7-56/93/1/1","1","0","0","0","6","1","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","83","127","0","0","210","هیچ کدام","شغل",,"1380/03/01"
"1039","صنعت","صنایع نساجی","كارور ماشين تراش پارچه‘مخمل‘پتو و فرش","7-56/90/1/2","1","0","0","0","7","1","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","60","180","0","0","240","هیچ کدام","شغل","Shearing machine oprator","1390/05/01"
"1040","صنعت","صنایع نساجی","كارور ماشين رنگرز الياف و نخ","7-56/24/2/2","1","0","0","0","8","1","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","54","118","0","0","172","هیچ کدام","شغل",,"1378/05/01"
"1041","صنعت","صنایع نساجی","كارور ماشين والك (نمدكني)","7-56/55/1/1","1","0","0","0","9","1","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","80","160","0","0","240","هیچ کدام","شغل",,"1388/01/01"
"1042","صنعت","صنایع نساجی","لكه گير و شستشوي پارچه هاي پشمي فاستوني","7-56/36/1/1","1","0","0","0","0","2","0","7","2","0","2","4","5","1","8","ندارد","پایان دوره  راهنمايي","150","210","0","0","360","هیچ کدام","شغل",,"1388/01/01"
"1043","صنعت","صنایع نساجی","كارور ماشين طاقه پيچ","7-56/91/2/2","1","0","0","0","1","0","0","7","2","0","2","9","5","1","8","ندارد","پایان دوره  راهنمايي","51","122","0","0","173","هیچ کدام","شغل",,"1379/06/01"
"1044","صنعت","صنایع نساجی","كارور مكانيك ماشين هاي تراش پارچه، مخمل، پتو و فرش","7-29/47/1/1","1","0","0","0","1","0","0","7","2","0","2","3","3","2","7","ندارد","پایان دوره  راهنمايي","60","260","0","0","320","هیچ کدام","شغل",,"1388/01/01"
"1045","صنعت","صنایع نساجی","مکانیک ماشین های بافندگی (تاری پودی)","8216/5","1","0","0","0","2","0","0","7","2","0","2","3","3","2","7","بافندگي تاري-پودي","پایان دوره راهنمایی","110","220","0","0","330","هیچ کدام","شغل",,"1388/12/01"
"1046","صنعت","صنایع نساجی","مکانیک ماشین های تکمیل","8216/10","1","0","0","0","3","0","0","7","2","0","2","3","3","2","7","تكميل پارچه","پایان دوره راهنمایی","190","410","0","0","600","هیچ کدام","شغل",,"1388/12/01"
"1047","صنعت","صنایع نساجی","مکانیک ماشین های چاپ پارچه","8216/9","1","0","0","0","4","0","0","7","2","0","2","3","3","2","7","چاپ پارچه","پایان دوره راهنمایی","100","200","0","0","300","هیچ کدام","شغل",,"1388/12/01"
"1048","صنعت","صنایع نساجی","مکانیک ماشین های حلقوی پودی","8216/6","1","0","0","0","5","0","0","7","2","0","2","3","3","2","7","بافندگي حلقوي پودي","پایان دوره راهنمایی","90","180","0","0","270","هیچ کدام","شغل",,"1388/12/01"
"1049","صنعت","صنایع نساجی","مکانیک ماشین های حلقوی تاری","8216/7","1","0","0","0","6","0","0","7","2","0","2","3","3","2","7","بافندگي حلقوي تاري","پایان دوره راهنمایی","90","180","0","0","270","هیچ کدام","شغل",,"1388/12/01"
"1050","صنعت","صنایع نساجی","مکانیک ماشین های رنگرزی","8216/8","1","0","0","0","7","0","0","7","2","0","2","3","3","2","7","رنگرزي پارچه","پایان دوره راهنمایی","150","300","0","0","450","هیچ کدام","شغل",,"1388/12/01"
"1051","صنعت","صنایع نساجی","مکانیک ماشین های ریسندگی الیاف بلند","8216/2","1","0","0","0","8","0","0","7","2","0","2","3","3","2","7","ریسندگی الیاف بلند","پایان دوره راهنمایی","130","260","0","0","390","هیچ کدام","شغل",,"1388/12/01"
"1052","صنعت","صنایع نساجی","مکانیک ماشین های ریسندگی الیاف کوتاه","8216/1","1","0","0","0","9","0","0","7","2","0","2","3","3","2","7","ریسندگی الیاف کوتاه","پایان دوره راهنمایی","150","300","0","0","450","هیچ کدام","شغل",,"1388/12/01"
"1053","صنعت","صنایع نساجی","مکانیک ماشین های ریسندگی یکسره","8216/3","1","0","0","0","0","1","0","7","2","0","2","3","3","2","7","ریسندگی یکسره","پایان دوره راهنمایی","100","200","0","0","300","هیچ کدام","شغل",,"1388/12/01"
"1054","صنعت","صنایع نساجی","مکانیک ماشین های مقدمات بافندگی","8216/4","1","0","0","0","1","1","0","7","2","0","2","3","3","2","7","كارور دستگاه هاي مقدمات بافندگي","پایان دوره راهنمایی","130","260","0","0","390","هیچ کدام","شغل",,"1388/12/01"
"1055","صنعت","صنایع نساجی","مكانيك ماشين چندلاكني فتيله درجه1","8-49/45/1/2","1","0","0","0","2","1","0","7","2","0","2","3","3","2","7","مكانيك ماشين چند لاكني فتيله درجه 2","ديپلم","33","140","0","0","173","هیچ کدام","شغل",,"1376/09/01"
"1056","صنعت","صنایع نساجی","مكانيك ماشين چندلاكني فتيله درجه2","8-49/45/2/2","1","0","0","0","3","1","0","7","2","0","2","3","3","2","7","كارور ماشين فتيله","ديپلم","52","210","0","0","262","هیچ کدام","شغل",,"1376/09/01"
"1057","صنعت","صنایع نساجی","مكانيك ماشين كاردينگ پنبه اي درجه1","7-49/47/1/2","1","0","0","0","4","1","0","7","2","0","2","3","3","2","7","مكانيك ماشين كاردينگ پنبه اي درجه 2","ديپلم نساجي يا راهنمايي با 10 سال سابقه","37","153","0","0","190","هیچ کدام","شغل",,"1376/07/01"
"1058","صنعت","صنایع نساجی","مكانيك ماشين كاردينگ پنبه اي درجه2","7-49/47/2/2","1","0","0","0","5","1","0","7","2","0","2","3","3","2","7","كارور ماشين كاردينگ نخي","پایان دوره  راهنمايي","50","238","0","0","288","هیچ کدام","شغل",,"1376/07/01"
"1059","صنعت","صنایع نساجی","مكانيك ماشينهاي بافندگي ماكويي (ضربه اي)","7-54/45/2/2","1","0","0","0","6","1","0","7","2","0","2","3","3","2","7","كارور ماشين بافندگي ماكويي تك جعبه اي","پایان دوره  راهنمايي","68","282","0","0","350","مجموعه جدید کار و دانش","شغل",,"1375/08/01"
